artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
Brad Mehldau,Logged In,Ian,M,1,Ortega,283.16689,free,"Richmond, VA",PUT,NextSong,1511623699284,978,Elegy For William Burroughs and Allen Ginsberg (Album Version),200,1513759837284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",979
Ratatat,Logged In,Mia,F,39,Douglas,260.17914,paid,"San Diego-Carlsbad, CA",PUT,NextSong,1506073424284,1776,Wildcat,200,1513759838284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1777
"",Logged In,Mia,F,40,Douglas,"",paid,"San Diego-Carlsbad, CA",GET,Downgrade,1506073424284,1776,"",200,1513759840284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1777
John Mayer,Logged In,Aiden,M,71,Fernandez,250.38322,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,Half Of My Heart,200,1513759850284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Basshunter,Logged In,James,M,17,Jimenez,248.31955,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1508086997284,1864,Far From Home,200,1513759886284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1865
"",Logged In,James,M,18,Jimenez,"",paid,"Los Angeles-Long Beach-Anaheim, CA",GET,Home,1508086997284,1864,"",200,1513759889284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1865
Charly Garcia,Logged In,Evelyn,F,32,Norman,221.04771,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,AsesÃÂ­name Stone,200,1513759902284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
Henry Mancini,Logged In,Sahar,F,2,Black,155.29751,free,"Seattle-Tacoma-Bellevue, WA",PUT,NextSong,1511000451284,5770,Tenderly,200,1513759939284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,936
Counting Crows / Vanessa Carlton,Logged In,Braylon,M,20,Ford,225.54077,paid,"Columbia, MO",PUT,NextSong,1508203778284,27,Big Yellow Taxi,200,1513759954284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,28
Stars,Logged In,Toni,F,43,Jackson,225.90649,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1512606128284,461,Take Me To The Riot,200,1513759979284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,462
Kevin Blechdom,Logged In,Noel,M,24,Woods,222.56281,paid,"Manchester-Nashua, NH",PUT,NextSong,1499022277284,2812,Running Away,200,1513760019284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2813
Christina Aguilera,Logged In,Jonathan,M,50,Webster,189.90975,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1505697773284,1078,Come On Over (All I Want Is You),200,1513760040284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1079
Was (Not Was),Logged In,Mia,F,41,Douglas,135.49669,paid,"San Diego-Carlsbad, CA",PUT,NextSong,1506073424284,1776,The Sky's Ablaze,200,1513760098284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1777
"",Logged Out,"","",0,"","",free,"",GET,Home,"",1967,"",200,1513760099284,"",""
Coldplay,Logged In,Aiden,M,72,Fernandez,349.93587,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,A Rush Of Blood To The Head,200,1513760100284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
"",Logged Out,"","",1,"","",free,"",PUT,Login,"",1967,"",307,1513760100284,"",""
"",Logged In,Emily,F,2,Hatfield,"",free,"Beaumont-Port Arthur, TX",GET,Home,1506749324284,1967,"",200,1513760112284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1968
Deftones,Logged In,Ian,M,2,Ortega,276.58404,free,"Richmond, VA",PUT,NextSong,1511623699284,978,Dai The Flu (LP Version),200,1513760120284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",979
Superchick,Logged In,Evelyn,F,33,Norman,187.01016,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,We Live,200,1513760123284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
Juanes,Logged In,James,M,19,Jimenez,215.66649,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1508086997284,1864,La Camisa Negra,200,1513760134284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1865
Cargo,Logged In,Braylon,M,21,Ford,220.23791,paid,"Columbia, MO",PUT,NextSong,1508203778284,27,Nu Mai Am Tigari,200,1513760179284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,28
"",Logged In,Tenli,F,0,Morgan,"",free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1508434826284,5631,"",200,1513760185284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",196
Ellie Goulding,Logged In,Toni,F,44,Jackson,233.53424,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1512606128284,461,This Love (Will Be Your Downfall),200,1513760204284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,462
The Script,Logged In,Jonathan,M,51,Webster,260.67546,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1505697773284,1078,Breakeven,200,1513760229284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1079
Jason Derulo,Logged In,Mia,F,42,Douglas,202.44853,paid,"San Diego-Carlsbad, CA",PUT,NextSong,1506073424284,1776,What If (Album Version),200,1513760233284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1777
Astrud Gilberto with Stanley Turrentine,Logged In,Tenli,F,1,Morgan,191.08526,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1508434826284,5631,Where There's A Heartache (There Must Be A Heart),200,1513760236284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",196
Radiohead,Logged In,Noel,M,25,Woods,235.7024,paid,"Manchester-Nashua, NH",PUT,NextSong,1499022277284,2812,Creep (Explicit),200,1513760241284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2813
Fabolous,Logged In,Barrett,M,0,Washington,222.9024,free,"Dallas-Fort Worth-Arlington, TX",PUT,NextSong,1494222016284,3878,Can't Let You Go featuring Mike Shorey & Lil' Mo  (Main LP Version),200,1513760294284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.102 Safari/537.36\"",547
Nelly / Clipse / Postaboy,Logged In,Evelyn,F,34,Norman,309.26322,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,#1,200,1513760310284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
Jimmy Eat World,Logged In,Camryn,F,0,Wilson,166.00771,free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1494789504284,5246,The Middle,200,1513760329284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1945
Grace Jones,Logged In,James,M,20,Jimenez,304.77016,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1508086997284,1864,Nightclubbing,200,1513760349284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1865
"",Logged In,James,M,21,Jimenez,"",paid,"Los Angeles-Long Beach-Anaheim, CA",GET,Home,1508086997284,1864,"",200,1513760355284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1865
Coldplay,Logged In,Ian,M,3,Ortega,289.17506,free,"Richmond, VA",PUT,NextSong,1511623699284,978,Bigger Stronger,200,1513760396284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",979
Weezer,Logged In,Braylon,M,22,Ford,199.94077,paid,"Columbia, MO",PUT,NextSong,1508203778284,27,Island In The Sun,200,1513760399284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,28
Justin Timberlake,Logged In,Tenli,F,2,Morgan,269.26975,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1508434826284,5631,Rock Your Body,200,1513760427284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",196
Maria Bamford,Logged In,Mia,F,43,Douglas,77.24363,paid,"San Diego-Carlsbad, CA",PUT,NextSong,1506073424284,1776,Mom's Religion,200,1513760435284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1777
Basement Jaxx,Logged In,Toni,F,45,Jackson,358.42567,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1512606128284,461,Bingo Bango,200,1513760437284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,462
The Zutons,Logged In,Aiden,M,73,Fernandez,211.25179,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,Confusion,200,1513760449284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Clay Walker,Logged In,Noel,M,26,Woods,167.99302,paid,"Manchester-Nashua, NH",PUT,NextSong,1499022277284,2812,What's It To You (Album Version),200,1513760476284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2813
The Kinks,Logged In,Jonathan,M,52,Webster,180.47955,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1505697773284,1078,Animal Farm,200,1513760489284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1079
Warlocks,Logged In,Mia,F,44,Douglas,186.40934,paid,"San Diego-Carlsbad, CA",PUT,NextSong,1506073424284,1776,Nobody Knows,200,1513760512284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1777
Devo,Logged In,Barrett,M,1,Washington,173.81832,free,"Dallas-Fort Worth-Arlington, TX",PUT,NextSong,1494222016284,3878,Girl U Want (Live),200,1513760516284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.102 Safari/537.36\"",547
Blind Melon,Logged In,Braylon,M,23,Ford,193.72363,paid,"Columbia, MO",PUT,NextSong,1508203778284,27,Paper Scratcher,200,1513760598284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,28
Jason Mraz & Colbie Caillat,Logged In,Evelyn,F,35,Norman,189.6224,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,Lucky (Album Version),200,1513760619284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
Colbie Caillat,Logged In,Noel,M,27,Woods,224.91383,paid,"Manchester-Nashua, NH",PUT,NextSong,1499022277284,2812,I Won't,200,1513760643284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2813
Groove Armada,Logged In,James,M,22,Jimenez,273.55383,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1508086997284,1864,I Won't Kneel,200,1513760653284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1865
Loudness,Logged In,Aiden,M,74,Fernandez,344.89424,paid,"Cape Coral-Fort Myers, FL",PUT,NextSong,1513376058284,2289,DOWN 'N' DIRTY,200,1513760660284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:31.0) Gecko/20100101 Firefox/31.0,2290
Colbie Caillat,Logged In,Jonathan,M,53,Webster,233.16853,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1505697773284,1078,I Never Told You,200,1513760669284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1079
Frou Frou,Logged In,Barrett,M,2,Washington,259.26485,free,"Dallas-Fort Worth-Arlington, TX",PUT,NextSong,1494222016284,3878,Hear Me Out,200,1513760689284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.102 Safari/537.36\"",547
Vanilla Ice,Logged In,Tenli,F,3,Morgan,231.83628,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1508434826284,5631,Ice Ice Baby (Radio Edit),200,1513760696284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",196
Black Eyed Peas,Logged In,Mia,F,45,Douglas,257.54077,paid,"San Diego-Carlsbad, CA",PUT,NextSong,1506073424284,1776,Imma Be,200,1513760698284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1777
Extreme,Logged In,Cesar,M,0,Pham,238.99383,free,"Medford, OR",PUT,NextSong,1507494821284,4808,More Than Words,200,1513760705284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2775
The Archies,Logged In,Luis,M,0,Lynch,166.16444,free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1508706547284,4333,Sugar Sugar,200,1513760788284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",1042
"",Logged In,Luis,M,1,Lynch,"",free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,Logout,1508706547284,4333,"",307,1513760789284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",1042
Ryan Bingham,Logged In,Braylon,M,24,Ford,240.63955,paid,"Columbia, MO",PUT,NextSong,1508203778284,27,Dylan's Hard Rain,200,1513760791284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,28
Bunbury,Logged In,Toni,F,46,Jackson,233.63873,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1512606128284,461,Frente A Frente,200,1513760795284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,462
"",Logged In,Lia,F,0,Walton,"",free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1498012740284,5892,"",200,1513760805284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",712
Steppenwolf,Logged In,Evelyn,F,36,Norman,208.14322,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,Born To Be Wild,200,1513760808284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
"",Logged Out,"","",2,"","",free,"",GET,Home,"",4333,"",200,1513760813284,"",""
"",Logged Out,"","",3,"","",free,"",PUT,Login,"",4333,"",307,1513760814284,"",""
Absolute Beginner / Samy Deluxe,Logged In,Noel,M,28,Woods,274.62485,paid,"Manchester-Nashua, NH",PUT,NextSong,1499022277284,2812,FÃÂ¼chse,200,1513760867284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2813
"",Logged In,Luis,M,4,Lynch,"",free,"Chicago-Naperville-Elgin, IL-IN-WI",GET,Home,1508706547284,4333,"",200,1513760887284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",1042
Pandora's Box,Logged In,Jonathan,M,54,Webster,164.25751,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1505697773284,1078,The Want Ad,200,1513760902284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1079
Mastodon,Logged In,James,M,23,Jimenez,783.33342,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1508086997284,1864,The Last Baron [Score],200,1513760926284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1865
Eminem / Nate Dogg,Logged In,Luis,M,5,Lynch,297.9522,free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1508706547284,4333,'Till I Collapse,200,1513760954284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",1042
Sam Cooke,Logged In,Miranda,F,0,Brown,122.04363,free,"Dallas-Fort Worth-Arlington, TX",PUT,NextSong,1510963691284,4413,Ain't Misbehavin,200,1513760986284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2427
Yann Tiersen,Logged In,Evelyn,F,37,Norman,123.0624,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,La NoyÃÂ©e,200,1513761016284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
Man Man,Logged In,Toni,F,47,Jackson,299.78077,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1512606128284,461,Black Mission Goggles,200,1513761028284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,462
Frankie Goes To Hollywood,Logged In,Braylon,M,25,Ford,396.85179,paid,"Columbia, MO",PUT,NextSong,1508203778284,27,Two Tribes,200,1513761031284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,28
OneRepublic,Logged In,Lennox,F,0,Adams,230.63465,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1512574133284,5372,Say (All I Need),200,1513761041284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,242
Los Bunkers,Logged In,Jonathan,M,55,Webster,209.97179,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1505697773284,1078,Te Vistes Y Te Vas,200,1513761066284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1079
Evanescence,Logged In,Angelina,F,0,Wu,263.78404,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1513577041284,5823,My Immortal (Album Version),200,1513761097284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2201
Jesper Kyd,Logged In,Evelyn,F,38,Norman,189.02159,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,Venice Industry,200,1513761139284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
Future Rock,Logged In,Noel,M,29,Woods,239.90812,paid,"Manchester-Nashua, NH",PUT,NextSong,1499022277284,2812,Gears,200,1513761141284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2813
J. Karjalainen & Mustat Lasit,Logged In,Michael,M,0,Kirk,336.74404,free,"Scranton--Wilkes-Barre--Hazleton, PA",PUT,NextSong,1496402967284,5328,Sinisten tÃÂ¤htien alla,200,1513761244284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2560
Angels and Airwaves,Logged In,Luis,M,6,Lynch,302.05342,free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1508706547284,4333,The Gift,200,1513761251284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",1042
Angela Johnson,Logged In,Lennox,F,1,Adams,449.25342,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1512574133284,5372,Better (Micky More Classic Mix),200,1513761271284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,242
The Shins,Logged In,Jonathan,M,56,Webster,199.1571,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1505697773284,1078,Caring Is Creepy,200,1513761275284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1079
Timbaland / Keri Hilson / D.O.E.,Logged In,Toni,F,48,Jackson,179.25179,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1512606128284,461,The Way I Are,200,1513761327284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,462
Menahan Street Band,Logged In,Evelyn,F,39,Norman,178.78159,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,Make The Road By Walking,200,1513761328284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
Mighty Joe Young,Logged In,Luca,M,0,Cantrell,264.22812,free,"Norwich-New London, CT",PUT,NextSong,1499797292284,5750,Early In The Morning,200,1513761357284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,1423
AFX,Logged In,Angelina,F,1,Wu,11.10159,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1513577041284,5823,Bit,200,1513761360284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",2201
Lupe Fiasco,Logged In,Daisy,F,0,Duran,176.56118,free,"Cedar City, UT",PUT,NextSong,1497356835284,1128,The Emperor's Soundtrack (Explicit Album Version),200,1513761362284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",1129
Franz Ferdinand,Logged In,Noel,M,30,Woods,247.24853,paid,"Manchester-Nashua, NH",PUT,NextSong,1499022277284,2812,Take Me Out,200,1513761380284,"\"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53\"",2813
India.Arie,Logged In,Braylon,M,26,Ford,293.98159,paid,"Columbia, MO",PUT,NextSong,1508203778284,27,Get It Together,200,1513761427284,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,28
Camila,Logged In,Jonathan,M,57,Webster,194.84689,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1505697773284,1078,Todo Cambio,200,1513761474284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",1079
"",Logged In,Liam,M,0,Conner,"",free,"Manchester-Nashua, NH",GET,Home,1512881062284,2417,"",200,1513761495284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2418
David Crowder*Band,Logged In,Toni,F,49,Jackson,241.89342,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1512606128284,461,Only You (Illuminate Album Version),200,1513761506284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,462
Jenny Lewis with The Watson Twins,Logged In,Evelyn,F,40,Norman,48.16934,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1508811189284,5019,Happy (Reprise),200,1513761506284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1579
